snap,time_value,CloudCord_X,CloudCord_Y,CloudCord_Z,CloudVel_X,CloudVel_Y,CloudVel_Z,Peak_Density
495,4.290492248535156,228.28803936789046,181.1627848819952,69.55899605970369,0.0,0.0,0.0,111946508920308.78
490,4.290490341186524,228.2880417379592,181.16279202008377,69.55899384029212,-1.1984141996885393,-3.590655858194239,1.0493535924569117,110141117612773.86
485,4.290488433837891,228.2880436402575,181.16279847292148,69.55899198485253,-1.1984138930940476,-3.5906568552187785,1.0493541878051438,108511791413907.81
480,4.290486526489258,228.28804600308186,181.16280574162838,69.55898973831455,-1.1984135582958089,-3.5906578720749263,1.0493548237750787,106597935078624.44
475,4.290484619140625,228.28804832527894,181.16281307821515,69.55898753858911,-1.1984132363720044,-3.590658865098731,1.0493554566046708,104395497826141.86
470,4.290482711791992,228.2880515003158,181.16282007898567,69.5589856359024,-1.1984129145181321,-3.590659867016111,1.0493560685230112,101811855514975.1
465,4.2904808044433596,228.28805376804684,181.16282752040473,69.55898351300488,-1.1984126147985952,-3.590660859428187,1.0493566546259774,99558774077559.45
460,4.290478897094727,228.28805596597525,181.1628349596614,69.5589814282951,-1.1984135440846706,-3.5906609393279876,1.049357495786385,97131280686959.95
455,4.290476989746094,228.28805811292392,181.16284235314623,69.55897938436203,-1.1984132018777518,-3.590661902245898,1.0493580815264905,93973475528137.89
450,4.290475082397461,228.28806021401036,181.16284969773062,69.5589773644044,-1.198411287910156,-3.590660013230847,1.0493548226367615,90545136101732.25
445,4.290473175048828,228.2880622746697,181.16285697886954,69.55897535936353,-1.1984108867167862,-3.590660961664349,1.049355369335716,86412509669593.06
440,4.2904712677001955,228.2880651138828,181.16286361850734,69.55897313517845,-1.1984104761118108,-3.5906619338315267,1.0493559011338518,82152221401748.3
435,4.290469360351563,228.28806716087763,181.16287087352592,69.55897109974109,-1.1984100567149247,-3.590662865991223,1.0493564010124732,77868202062776.61
430,4.29046745300293,228.28806958681363,181.16287851703544,69.5589683694038,-1.1984096371591184,-3.590663802046275,1.0493568713821508,73180158309826.97
425,4.290465545654297,228.28807179171207,181.16288482129545,69.5589661311788,-1.1984092009872862,-3.590664748202479,1.0493573361920268,68688982137291.234
