snap,time_value,CloudCord_X,CloudCord_Y,CloudCord_Z,CloudVel_X,CloudVel_Y,CloudVel_Z,Peak_Density
495,4.55206298828125,227.9775270307473,180.3411201510633,69.83319318234788,0.0,0.0,0.0,88073789091194.84
490,4.5520477294921875,227.9775436017006,180.34116357397374,69.83317910591194,-1.2149226522935024,-3.4168112936806825,0.9920429847449533,79352611033583.8
485,4.552032470703125,227.97756084517863,180.34120662549486,69.83316371373002,-1.214925510881881,-3.416842850541202,0.992039461623058,86814386866095.62
480,4.5520172119140625,227.9775782789281,180.34125144190298,69.83315058942598,-1.2149202112475508,-3.4168514736233004,0.9920692527578604,88253669344212.73
475,4.5519958496093755,227.9776019850848,180.34131312431577,69.83313156516729,-1.2149341426464275,-3.4168793042268777,0.9920624730032087,67553047187826.016
470,4.5519653320312505,227.9776368874928,180.34140106309778,69.83310278383952,-1.2149543313200568,-3.4169241970397404,0.9920939366191529,45144195771118.016
465,4.5519348144531255,227.97767333083493,180.34149076722983,69.8330751813761,-1.2149790691748577,-3.416955409746373,0.9921043420129255,49930818225557.48
460,4.5519042968750005,227.97771004104646,180.3415806593331,69.83304517756406,-1.2149755371941104,-3.4169326093003223,0.9921074058481243,35669998802588.086
455,4.55185546875,227.977768093911,180.3417248875998,69.83300177783008,-1.2150189487318361,-3.4169856106380743,0.9921084824594789,11630051774171.709
450,4.55179443359375,227.9778443017227,180.34189730200063,69.83295794625857,-1.2150390961427744,-3.417053038491587,0.9921325867538522,8351454314834.657
445,4.551763916015625,227.97788975443933,180.3419839128407,69.83293878536983,-1.2150335952900868,-3.417074771707855,0.9921477917447572,12220274253226.184
440,4.5517333984375,227.97792510362348,180.3420703675858,69.83292060689558,-1.2150384896216617,-3.417098358038655,0.9921771335833296,17506924441293.652
435,4.55167236328125,227.97800711220094,180.34224172482232,69.83287644587881,-1.2150624264394554,-3.417179430814988,0.9922295545277796,5885932341296.005
430,4.5515625,227.97815876127282,180.3425521750927,69.83280287240751,-1.2151225163585537,-3.417309431008774,0.9922916723272381,1211430491907.8767
425,4.5513671875,227.97842487700973,180.34311807492043,69.83268895958071,-1.215134741885572,-3.417546931789128,0.9924282814314983,290954852121.26886
420,4.5509765625,227.9789784261715,180.3442749407298,69.83247741614338,-1.2152022935382878,-3.4179911758630106,0.9927172888361774,67855461209.61101
415,4.55048828125,227.9797053148809,180.34571722735637,69.83223020289728,-1.2152047598272302,-3.4184741014339792,0.9930523405023329,35071912162.10305
410,4.5498046875,227.9807916318636,180.34781782494133,69.83190576732736,-1.215175294201644,-3.4192279284255687,0.9935890128861303,17777277905.900055
405,4.5484375,227.98279486676748,180.35255369183838,69.83140691000128,-1.215204519543935,-3.42060858494167,0.9943933227855601,3552513565.060518
400,4.5453125000000005,227.98732766790582,180.36340285736037,69.8297657329158,-1.2145444774432976,-3.4234818757460825,0.9955191174940279,430238191.16586095
395,4.5375000000000005,227.99770583215505,180.3918831342402,69.8252953990171,-1.2149341154954105,-3.429722863920821,0.9993692384068662,44988094.808435865
390,4.5,228.01862790304162,180.4986168442641,69.7894419332502,-1.2162408052617335,-3.4571722453410954,1.0113629930672474,3825035.779781739
385,4.4375,228.09410987159873,180.71144374166602,69.71673750708305,-1.2136504464369129,-3.4943532668853767,1.0286313987057967,870096.053468249
380,4.375,228.20526831625557,180.90721589392854,69.64406261584341,-1.2025837772760184,-3.5279085662039416,1.0464760785518894,325007.8197470091
375,4.3125,228.2857337477643,181.12775312763705,69.56982034284478,-1.1958975893371853,-3.564778897622532,1.0693005796074617,179452.1040062713
370,4.25,228.34821807524378,181.32607181028897,69.54405830294415,-1.1833199861573067,-3.597663603013062,1.0870441721709685,116336.65249000183
365,4.1875,228.41873001014318,181.5437816343003,69.47189209279075,-1.1780181226023883,-3.6278149565100786,1.103516032340956,100953.24235707561
360,4.125,228.16661241763092,182.10917440541004,69.28342192982535,-1.166969435283421,-3.658980927682749,1.1199159305743978,73718.21454175563
355,4.0625,228.19287572661705,182.35709474006896,69.23953458844207,-1.1065809494742544,-3.6359188667530216,1.077808661502147,61823.64021772725
350,4.0,228.72288206044834,182.3066148230073,69.11968040604037,-1.0955662733095382,-3.6563646769267244,1.082535109975084,57714.24544405326
345,3.9375,228.75960615587744,182.52720258137603,69.0290163348375,-1.1277951834291897,-3.7688860600261953,1.1818619633467538,60567.342020781616
340,3.875,228.83868399195308,182.7365683344486,68.97723845676114,-1.1164666820524474,-3.799353060697622,1.1956970982388995,64542.38728174446
335,3.8125,228.9064717045667,182.993988466716,68.89442534352094,-1.1111313807487793,-3.833588683917893,1.2123580970786991,60335.33726905151
330,3.75,228.9534709081927,183.3014424622224,68.7689846106355,-1.1013702136171646,-3.869834771970587,1.2260149132000477,54733.12524301573
325,3.6875,229.01153438256247,183.58413859493305,68.6964672750075,-1.085855465608173,-3.903664853540311,1.2354225247625212,44650.10021130089
320,3.625,228.86198048364963,183.7565502529255,68.81110507167098,-1.0777185904196573,-3.937540037124776,1.2440595249097477,41592.37834399987
315,3.5625,228.95075060095428,183.94535103768868,68.79914463068985,-1.0684466293150316,-3.937756697484836,1.2161577735590858,45476.43718844969
310,3.5,229.00894186393904,184.18403537886223,68.72612255758614,-1.0657493350826395,-3.9776459682026513,1.2313940661133493,40216.47108508646
305,3.4375,229.05176287827555,184.43928804939225,68.65317286676054,-1.0547800060821115,-4.013054842001676,1.242385945270169,29601.265399942506
300,3.375,229.18786044650295,184.96148779315513,68.69359702632468,-1.0436086429404294,-4.046014748789751,1.2491257063516066,26722.2996250378
