snap,index,CloudCord_X,CloudCord_Y,CloudCord_Z,Peak_Density
300,0,228.16955585926436,180.85332213715935,69.68282712455115,4.036368584312283
300,1,140.40063794223062,218.51593305031997,37.058461044008254,4.036368584312283
300,2,106.51884082083271,205.3956284111117,36.77018719724917,4.013037712488771
300,3,138.4460444595843,213.1296515873227,27.715714445202835,3.940789021235331
300,4,140.58952226029825,209.99547653273476,46.72271260224657,3.696912165132915
300,5,210.2753505135178,212.1959296655677,64.27922509947393,3.554273351797369
300,6,219.9066786659715,184.7163365211045,45.69134984807836,3.4302946893999677
300,7,122.651308530449,219.31244704513352,21.640304647186284,3.4013067637099783
300,8,119.34519923843388,204.19218189820953,40.40882309482478,3.3444542086679574
300,9,147.44585312040306,168.58037744831654,19.696514956268473,3.325998580584654
300,10,220.16484359054635,208.0093476499922,66.0970428870913,3.3152568555018664
300,11,125.7037858737904,233.62074146245413,7.547145990882939,3.309228169956315
300,12,63.49422538822117,227.298716273406,4.934720844048741,3.1980049365375547
300,13,240.37540867758412,187.45293491437357,77.60282219197344,3.1786071009914054
300,14,108.40553985605655,179.45054460829977,148.02538296719746,3.1225016069638185
300,15,149.65884927186806,217.9750661026943,47.261754357829325,3.096233358866434
300,16,101.00696886812784,223.40064241295354,16.189907827704133,3.0479870710210983
300,17,217.29229794674413,253.81407594942044,3.14172920080523,3.036923066534514
300,18,160.24864725423868,216.7094173190373,26.104800899141807,3.0315704640248744
300,19,140.56197001253327,224.92936889248625,21.51564117362598,3.0081445680221455
