snap,index,CloudCord_X,CloudCord_Y,CloudCord_Z,Peak_Density
430,0,227.97815876127282,180.3425521750927,69.83280287240751,4.5587251568558385
430,1,210.5860914777733,211.914724764204,64.41506442891028,4.5587251568558385
430,2,136.23791876330344,214.5826516589438,27.95770176982967,4.356277699557841
430,3,106.62494306917117,205.67415032302878,36.807007547204876,4.144232265541365
430,4,127.15329242916727,234.12145100460472,6.89854253199627,3.9888759397129485
430,5,140.4974989170326,219.1331862260642,38.30513578331079,3.78031405429713
430,6,141.81923454915443,209.22704392541345,45.3853940894511,3.7604692572348255
430,7,126.47996628822781,217.12201634176145,22.91787202649573,3.620596372500496
430,8,160.10692419433582,220.589266278369,23.681626022683872,3.581596238008734
430,9,119.43277558695581,204.14788356756517,40.89307051746314,3.4190150384509126
430,10,219.76376995909897,183.9793700229269,46.57050258173852,3.404666883597405
430,11,220.04269018567527,208.64442202949886,66.04232184049152,3.3750554455678445
430,12,97.0880963698608,234.58525280033427,8.347691369146105,3.3637798438032043
430,13,214.18083113803038,200.54107024145287,65.30990727203911,3.352866145882812
430,14,118.03810141682354,206.06772549981358,29.69989244083365,3.3448605008576204
430,15,8.573289319692819,123.4996820182298,204.71834217494745,3.3145176364492435
430,16,108.90264814834333,180.3848714671113,149.03923609928745,3.2293167714580986
430,17,240.98828285978288,187.88589816195682,77.80411169885343,3.2209647293266603
430,18,221.63734654728677,178.5039201476838,61.61095730305817,3.19769297720414
430,19,130.9943821393475,212.78119452251218,37.16442595076387,3.153151504459039
